time,q,p
1,1,1
2,0,1
3,0,1
4,0,1
5,0,1
6,0,1
7,0,1
8,0,1
9,0,1
10,0,1
11,0,1
12,0,0
13,0,1
14,0,0
15,0,0
16,0,0
17,0,1
18,0,0
19,0,1
20,0,0
21,0,1
22,1,1
23,0,1
24,0,1
25,0,1
26,0,1
27,0,1
28,0,1
29,0,1
30,0,1
31,0,1
32,0,1
33,0,0
34,0,1
35,0,1
36,0,0
37,0,1
38,0,0
39,0,1
40,0,1
41,0,1
42,0,0
43,1,1
44,0,1
45,0,1
46,0,1
47,0,1
48,0,1
49,0,1
50,0,1
51,0,1
52,0,1
53,0,1
54,0,1
55,0,1
56,0,1
57,0,0
58,0,1
59,0,0
60,0,0
61,0,0
62,0,1
63,0,0
64,1,1
65,0,1
66,0,1
67,0,1
68,0,1
69,0,1
70,0,1
71,0,1
72,0,1
73,0,1
74,0,1
75,0,0
76,0,0
77,0,1
78,0,1
79,0,1
80,0,0
81,0,1
82,0,0
83,0,1
84,0,0
85,1,1
86,0,1
87,0,1
88,0,1
89,0,1
90,0,1
91,0,1
92,0,1
93,0,1
94,0,1
95,0,1
96,0,0
97,0,0
98,0,1
99,0,0
100,0,0
101,0,1
102,0,1
103,0,0
104,0,1
105,0,0
106,1,1
107,0,1
108,0,1
109,0,1
110,0,1
111,0,1
112,0,1
113,0,1
114,0,1
115,0,1
116,0,1
117,0,0
118,0,0
119,0,1
120,0,0
121,0,1
122,0,1
123,0,0
124,0,1
125,0,0
126,0,1
127,1,1
128,0,1
129,0,1
130,0,1
131,0,1
132,0,1
133,0,1
134,0,1
135,0,1
136,0,1
137,0,1
138,0,1
139,0,1
140,0,0
141,0,1
142,0,1
143,0,0
144,0,1
145,0,1
146,0,1
147,0,0
148,1,1
149,0,1
150,0,1
151,0,1
152,0,1
153,0,1
154,0,1
155,0,1
156,0,1
157,0,1
158,0,1
159,0,0
160,0,0
161,0,1
162,0,1
163,0,1
164,0,1
165,0,1
166,0,1
